id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
894045096706096831,Rental unit in Kungsholmen · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,45589939,Enrique,,Kungsholmens,59.3369416,18.0255415,Private room,690,1,18,2023-10-31,2.50,2,74,18,
894190394851149059,Rental unit in Kungsholmen · 2 bedrooms · 1 bath,398778056,Andreas,,Kungsholmens,59.33187,18.04498,Entire home/apt,,1,1,2023-07-30,0.20,1,0,1,
894238427201758426,Home in Älvsjö · 3 bedrooms · 3 beds · 2 baths,276511432,Sabina,,Älvsjö,59.2626,17.98371,Entire home/apt,,5,2,2023-07-31,0.37,1,0,2,
894261063051234591,Townhouse in Skarpnäcks Gård · ★4.83 · 1 bedroom · 3 beds · 1.5 baths,89798634,Helena,,Skarpnäcks,59.268332325591224,18.140611310711108,Entire home/apt,1217,2,6,2023-11-04,0.97,2,14,6,
894612407529996869,Rental unit in Kungsholmen · ★4.67 · 1 bedroom · 1 bed · 1 bath,20165406,Frida,,Kungsholmens,59.32447811354533,18.004374364433904,Entire home/apt,,2,3,2023-07-29,0.44,1,0,3,
894638127427976899,Rental unit in Kungsholmen · ★5.0 · 1 bedroom · 3 beds · 1 bath,9931461,Ingela,,Kungsholmens,59.322913995372815,17.990233357672135,Entire home/apt,750,3,5,2023-08-31,0.75,1,87,5,
894670580023867676,Rental unit in Östermalm · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,515481870,Gunnar,,Östermalms,59.34024,18.09065,Entire home/apt,1100,14,7,2023-12-03,1.05,1,15,7,
894690978017198418,Rental unit in Bromma · 3 bedrooms · 4 beds · 2 baths,515485998,Fanny,,Bromma,59.360328670418724,17.905561808168233,Entire home/apt,,5,0,,,1,0,0,
894816512740847928,Rental unit in Farsta distrikt · ★New · 1 bedroom · 4 beds · 1 bath,467417669,Ajin,,Farsta,59.242721891445996,18.095774089009655,Entire home/apt,582,1,0,,,1,27,0,
894914687399070582,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,515541558,Saad,,Södermalms,59.31564825019833,18.064409096958904,Entire home/apt,,200,0,,,1,362,0,
894928390819515357,Home in Farsta distrikt · ★5.0 · 4 bedrooms · 4 beds · 2 baths,294279203,Ida,,Farsta,59.27117,18.08513,Entire home/apt,,3,4,2023-07-24,0.69,1,0,4,
895550047844703901,Rental unit in Farsta distrikt · ★5.0 · 1 bedroom · 1 bed · 1 bath,171641244,Mina,,Farsta,59.25724469999999,18.0870425,Entire home/apt,850,1,3,2023-07-18,0.50,1,0,3,
895565921850520424,Rental unit in Östermalm · 2 bedrooms · 2 beds · 1 bath,25745835,Shama,,Östermalms,59.34014879999999,18.095804,Entire home/apt,1800,4,1,2023-08-14,0.22,2,193,1,
895591811820873525,Rental unit in Östermalm · 3 bedrooms · 3 beds · 1.5 baths,401972223,Patricia,,Östermalms,59.34228563558323,18.09878196396658,Entire home/apt,,7,0,,,1,351,0,
895622863310522351,Rental unit in Hägersten-Liljeholmen · ★4.69 · 1 bedroom · 1 bed · 1 bath,494442693,Linn,,Hägersten-Liljeholmens,59.303586662264,18.014632073569206,Entire home/apt,971,1,13,2023-12-07,1.93,1,88,13,
895683511691791834,Rental unit in Södermalm · ★4.82 · 1 bedroom · 2 beds · 1 bath,24280742,Sweden_92,,Södermalms,59.3167823072731,18.060787678389236,Entire home/apt,891,1,49,2023-12-23,6.84,4,20,49,
896067066757189443,Rental unit in Kungsholmen · ★4.60 · 1 bedroom · 2 beds · 1 bath,60382478,Elias,,Kungsholmens,59.32989999999999,17.9994783,Entire home/apt,635,3,25,2023-12-10,3.47,38,356,25,
896118129741161113,Rental unit in Norrmalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,338538052,Cecilia,,Norrmalms,59.34729356982362,18.04484179432121,Entire home/apt,,3,4,2023-09-23,0.69,1,0,4,
896122928407055041,Rental unit in Norrmalm · 2 bedrooms · 2 beds · 1 bath,97945581,Ellen,,Norrmalms,59.34057583884296,18.058553612852595,Entire home/apt,,2,0,,,1,0,0,
896141454452953673,Rental unit in Södermalm · ★5.0 · 4 bedrooms · 5 beds · 2 baths,65235856,Magnus,,Södermalms,59.31969786390828,18.072382154108652,Entire home/apt,5786,3,9,2023-12-03,1.62,1,0,9,
896210932735051762,Home in Farsta distrikt · 4 bedrooms · 4 beds · 2 baths,51243831,Fredrik,,Farsta,59.258423860595144,18.126831916853163,Entire home/apt,1800,5,0,,,1,214,0,
896224845938444554,Rental unit in Bromma · 2 bedrooms · 4 beds · 1.5 baths,35054958,Arwind,,Bromma,59.336119710047846,17.968493205763547,Entire home/apt,2050,2,0,,,1,260,0,
